sr_no,song_name,album_name,artist_name,isrc,upc,language,label,Main_Label,Sub_Label,Label_Identification,ad_supported_streams,subscription_streams,jio_trial_streams,total,income,admin_Exp,royality,id,original_l1_name,original_l2_name,company
"83626","Chhuye Dilam","Chhuye Dile Mon","Sajid Sarkar","INT441620602","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","23","0","0","23","1.72500000","0.25875000","1.46625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"83892","Door Theke Tui Dekhis More","Tumi Je Jagat Kandari","Kumar Sanu","INT441653302","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","103","0","0","103","7.72500000","1.15875000","6.56625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"83979","Sunil Sagar Majhe","Taba Sangeet","Monomoy Bhattacharya","INT441651112","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"84032","Ache Dukho Ache Mrityu","Gita R Bani Robi R Gaan","Agnibha Bandyopadhyay","INT441627201","8.89846E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"84324","Dekhechhi Roop Sagore","Dekhechhi Roop Sagore","Piyasha Maity","INT442200272","1.96925E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"85017","Unki Diley Jhunki Hoy Kartik Das Baul","Pendulum","Mainak Nag Chowdhury","INT441641210","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","60","1","0","61","4.57500000","0.68625000","3.88875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"85145","Amar Praner Manush","Pran Chaai","Poulami Ganguly","INT441667602","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","0","1","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"85475","Monta Jodi Hoy Bhabuk","Mon Tui","Anindita Bhaumik Majumdar","INT441636605","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"85585","Ami Tomaro Songe Bendhechhi Amar Pran","Ami Tomaro Songe Bendhechhi Amar Pran","Nayana Chakraborty","INT442200110","1.96627E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"85604","Amar Mon Kemon Kore","Ar Naire Bela","Dr. Shantanu Bhowmik","INT441663704","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","476","14","0","490","36.75000000","5.51250000","31.23750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"85864","Dekechhen Priyotamo","Paromporjo  Vol. 04","Dipankar Debnath","INT442200402","1.97187E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"86092","Dheere Dheere Chand","Tomaye Bhalobashi","Anand-Milind","INT441652702","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","14","0","0","14","1.05000000","0.15750000","0.89250000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"86206","Nabobesh","Jibon Debota","Pranati Tagore","INT441609507","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"86295","Parer Kandari","Fakiri And Bangla Qawwali","Akkas Fakir","INT441626205","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"86396","Dikha Nile Janis Moner","Sree Sree Guru Geeta","Smriti Pal","INT441649202","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"86663","Bol Re Joba Bol","Nache Alokeshi","Agnibha Bandyopadhyay","INT441637701","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"86720","Bhenge Mor Gharer Chabi","Amar Jato Katha Chilo","Debesh","INT442000966","1.95497E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87020","Maa Ke Tora Kandash Ne Aar","Bhebe Chhilam Aapan Jare","Sujon Biswas","INT441617734","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87092","Uriye Dhwaja","Nibhrite Jotone","Shamik Pal","INT441667408","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87249","Sanwareltribute To Nusrat Saheb","X-Raf","Anindita Bhattachariya","INT441625404","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87508","Amar Raat Pohalo","Nibhrite Jotone","Shamik Pal","INT441667401","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","6","0","0","6","0.45000000","0.06750000","0.38250000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87802","Aaj Sobar Ronge","Laglo Je Dol","Shreya Guhathakurta","INT441609801","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","17","1","0","18","1.35000000","0.20250000","1.14750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87846","Cham Cham Baje","O Sajna","Tanu Shree","INT441639702","8.90387E+12","Bhojpuri","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","15","0","0","15","1.12500000","0.16875000","0.95625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87922","Bondhutter Byakawron","Achena Bondhutto","Emon Chatterjee","INT441612503","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","45","0","0","45","3.37500000","0.50625000","2.86875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"87933","Rim Jhim Jhim Bristi","Polash Bon","Partha Bhowmik","INT441641507","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"88143","Nayan Sommukhe Tumi Thakur","Pranaam Tomay","Ratna Mitra","INT441605906","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","19","0","0","19","1.42500000","0.21375000","1.21125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"88281","Hey Torun Arun Yogi","Taba Sangeet","Srikanto Acharya","INT441651106","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","22","0","0","22","1.65000000","0.24750000","1.40250000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"88712","Matir Buker Majhe_pallab","Daughter Of Clouds","Pallab Kirtaniya","INT441622502","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","0","2","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"88907","Dil To Hai Dil","Dil To Hai Dil Mane Na","Sabita Mahapatra","INT441901342","1.94491E+11","Hindi","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89006","A Rate Mithi Mithi Kotha","Har Mana Har","Madhumani","INT441628501","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89177","Green","Vishnus Report","Neel Sarkar","INT441638701","8.90387E+12","Instrumental","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89603","Sridham Orakandi","Bajlo Harinamer Danka","Mithu Das Baul","INT441604909","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89731","Bipodotarini Tara","Mahatirtha Birbhum","Subhrakamal Ghosh","INT441672902","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89752","Esho Maa Esho Maa","Swamijir Gawa Gan","Suprotik Das","INT441650510","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","11","1","0","12","0.90000000","0.13500000","0.76500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89756","Kali Kali","Ei Path","Arijit  Avijit  Manash","INT441624804","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","24","0","0","24","1.80000000","0.27000000","1.53000000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89884","Bondhu Kake Bole","Deoghar E Shatshange","Sreeradha Banerjee","INT441600802","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","27","0","0","27","2.02500000","0.30375000","1.72125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89924","Gahana Kusum Kunjamajhe","Pratikriti","Acharya Sanjay Chakrabarty","INT441642202","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89946","Yun Unki Mast Nigaho","Aap Ki Khidmat Mein","Manna Dey","INT441611510","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"89988","Pirit Kora Jane Koy Jona","Baulanir Gaan","Subhadra Sharma","INT441616806","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"90046","Poth Diye Ke Jai Go Chole","Mohor Chayaye","Ranjini Mukherjee","INT441636010","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","0","0","0","0","0.00000000","0.00000000","0.00000000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"90306","Koto Bar Vebechinu Apona Vuliya","Abong Valobasa","Irene Sarkar","INT441612303","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","105","0","0","105","7.87500000","1.18125000","6.69375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"90816","Adhar Periye","Bangaliana","Sidhu","INT441616501","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"90908","Prem Koro Rai","Mon Pinjraye","Saibal Das","INT441636508","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"90936","Sona Sona Rodete","Aro Ekbar","Smriti Lala","INT441615404","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"91066","Aaji E Ananda Sondha","Nirjane Swajane","Joba Bannerjee  Rabindranath Tagore","INT441658402","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","0","1","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"91154","Keno Jamini Na Jete","Madhu Dhara","Shamik Pal","INT441601708","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"91385","Tomay Ami Bhalobasi","Mon Bojha Day","Sumit Sachin","INT441636410","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"91475","Mana Na Manili","Probasi Pakhi","Swagatalakhsmi Dasgupta","INT441642907","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","1","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"91806","Himer Rate Oi Gogone","Gane Gane Choy Ritu","Ankita Bhattacharjee  Arnab Ghosh","INT441626905","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","33","0","0","33","2.47500000","0.37125000","2.10375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"91816","Pobitra Atta Eshow","Poritrata","Kumar Sanu","INT441641709","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","92","1","0","93","6.97500000","1.04625000","5.92875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"92757","Hil Mil","Priyanka","Priyanka Bharali","INT441642804","8.90387E+12","Assamese","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","7","0","0","7","0.52500000","0.07875000","0.44625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93061","Kota Dini Banchle","Samay","Agnibin Chattopadhyay","INT442100166","1.96007E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93125","You And Me","Paanch Adhyay","Pratim D. Gupta","INT441640707","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","8","2","0","10","0.75000000","0.11250000","0.63750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93149","Hridoyer Moni Adorini Mor","Dujone Dekha Holo","Srabani Sen","INT441623907","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","0","4","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93218","Kalo Jole","Kalo Jole","Arpita Mondal","INT442300054","1.97188E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93273","Ami Kaan Pete Roi","Araley","Sasha Ghoshal","INT441602905","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93315","Amay Eto Kasto Dio Na","Amay Eto Kasto Dio Na","Mohit Kumar","INT442100317","1.96293E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93490","Jela Birbhum","Joydeber Melate","Disha Ghorai","INT441600606","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93820","Mohanaye Ese Nadi","Harano Sur","Indrani Sen","INT441628608","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","1","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"93825","Tumi Bahir Theke","Na Bola Bani","Kanika Bandyopadhyay","INT441609909","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"94133","Do Dil Ki Kahani","Chashme Baddoor","Banasri Ghoshal","INT441620504","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","14","0","0","14","1.05000000","0.15750000","0.89250000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"94361","Ohonkare Motto Shoda","Swamijir Gawa Gan","Suprotik Das","INT441650520","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"94364","Dwaporete Krishna Aar Treta Juge Ram","Guru Chhad Geet Amrito","Susanta Bandyopadhyay","INT441605601","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","15","0","0","15","1.12500000","0.16875000","0.95625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"94815","Naya Daman","Naya Daman","Rituparna Chanda","INT442300086","1.97188E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","12","0","0","12","0.90000000","0.13500000","0.76500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"94957","Pakhi Paka Pepe Khae","Target Kolkata","Nayan Bhattacharjee","INT441651604","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","1","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"95127","Kaal Raater Bela Gaan Elo","Paromporjo  Vol. 06","Papiya Chakraborty","INT442200458","1.97187E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"95165","Shree Shree Thakur Shree","Viswa Peeta Santan Tumi","Akhil Chakraborty","INT441632903","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"95250","Maha Kali","Dev Devi Mantram","Bhaskara","INT441803386","1.93483E+11","Sanskrit","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"95956","Majhe Majhe Tobo","Praaner Robi","Jayita Banerjee","INT441667505","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","11","0","0","11","0.82500000","0.12375000","0.70125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"96226","Raaga Raagi","Suranjit Parody","Suranjit","INT441649813","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","21","0","0","21","1.57500000","0.23625000","1.33875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"96592","Karar Singe Tel","Amra Dujon Ekti Ganye Thaki","Debasis Danda","INT441900057","1.93483E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"96755","Sobi Tale Tale Khol Kortale","Bandhu Sundar","Gopal Barman  Madhu Burman","INT441616406","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","8","0","0","8","0.60000000","0.09000000","0.51000000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"96768","Rajani Gandha Coffen","Kolkatar Helen","Santanu Bandyopadhyay  Swagata Paul","INT441663011","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"97034","Kobe Ami Bahir Holam","Hridoyer Kotha","Sreeradha Bandyopadhyay","INT441630107","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","100","1","0","101","7.57500000","1.13625000","6.43875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"97112","Amar Majhe Bashat","Bangla Mayer Chhele","Dr. Rafiq Khan","INT441778601","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"97170","Mono Mor Meghero Shongee","The Other Side","Gautam Chatterjee  Sutapa Bandyopadhyay Sarkar","INT441603106","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"97301","Udah Udah","Hiya Deba Kaak","Nilanjana  Soham","INT441629106","8.90387E+12","Assamese","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"97317","Ai Ai Boishakhi Jhor","Natun Surjo Dao","Dikhalok","INT441638801","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","7","0","0","7","0.52500000","0.07875000","0.44625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"97405","Ghor Soyar","Kobita Scope","Sutapa Bandyopadhyay","INT441609703","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","50","3","0","53","3.97500000","0.59625000","3.37875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"97649","Tomaro Ashime Prano Mono Loye","Aaj Baishey Shrabon","Shreya Guhathakurta","INT441607110","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","24","1","0","25","1.87500000","0.28125000","1.59375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"98060","Bangaliana","Bangaliana","Sayak","INT441616502","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"98166","Chand Suraj Jaishan","Lallu Bihari","Baiju Banshi","INT441634001","8.90387E+12","Bhojpuri","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","61","0","0","61","4.57500000","0.68625000","3.88875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"98238","E Sudhu","E Sudhu","Balu Dutta  Srijita Mitra","INT441661301","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"98457","Ore Griho Bashi","Robir Rongey","Barnali Biswas Shanta","INT441608309","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","56","2","0","58","4.35000000","0.65250000","3.69750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"98763","Eka Thaki","Antena Sarbonaash","Shilajit Majumdar","INT441614802","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","15","1","0","16","1.20000000","0.18000000","1.02000000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99445","Bhalobasha","Ekbar Bolo Na Bhalobashi","Ashok Bhadra  Soumitra Kundu","INT441660903","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","8","0","0","8","0.60000000","0.09000000","0.51000000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99486","Mrinalini Devi Writes A Letter To Rabindranath Tagore","Naari Robir Aloy","Ranjan Bandyopadhyay  Sutapa Bandyopadhyay","INT441658205","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99496","Bristir Smrity Male","Bristir Smrity","Sumon","INT441619502","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99513","Aamar Deho Tari","Guru O Shishyar Pala","Mithu Das Baul","INT441606301","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","10","0","0","10","0.75000000","0.11250000","0.63750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99693","Jannoni Janmabhoomi","Ekusher Chatonai Sahobag","Subhash Mukhopadhyay","INT441625812","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99864","Aparupa Tumi Maa","Maa","Sreerupa Roy","INT441670101","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","7","0","0","7","0.52500000","0.07875000","0.44625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99918","Shiuli Tolay","Shiuli Tolay","Pranita Mandal","INT442300075","1.97188E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","39","0","0","39","2.92500000","0.43875000","2.48625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"99964","Duti Nayan Bhore","Bhebe Chhilam Aapan Jare","Shampa Chakraborty","INT441617724","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
